,date,calories,steps,dist,floors,sedant,active_light,active_fair,active_very,active_cals,sleep_start_hr,sleep_minutesAsleep,sleep_minutesAwake,sleep_awakeningsCount,sleep_timeInBed,sleep_REM,sleep_light,sleep_deep,sleep_start,sleep_efficiency
121,2018-04-30,2961,15016,11.16,75,620,256,40,44,1657,1.78,434.0,46.0,2.0,480.0,,,,01:47,90.0
122,2018-03-01,2909,12708,9.44,40,1440,0,0,0,0,,,,,,,,,,
123,2018-03-02,3233,14626,10.91,36,1440,0,0,0,0,,,,,,,,,,
124,2018-03-03,3230,15529,11.54,21,1440,0,0,0,0,,,,,,,,,,
125,2018-03-04,2663,6520,4.84,0,1361,60,14,5,358,,,,,,,,,,
126,2018-03-05,3450,12019,8.77,26,666,170,69,122,2101,0.57,377.0,33.0,2.0,413.0,,,,00:34,92.0
127,2018-03-06,2496,7319,5.48,15,816,162,30,28,1060,1.02,375.0,24.0,1.0,404.0,,,,01:01,94.0
128,2018-03-07,3770,17343,13.19,38,566,227,70,136,2539,0.37,405.0,35.0,2.0,441.0,,,,00:22,92.0
129,2018-03-08,2796,8374,6.26,19,714,227,28,44,1440,0.58,373.0,54.0,2.0,427.0,,,,00:35,87.0
130,2018-03-09,3224,14180,10.45,28,656,263,68,69,1965,1.4,326.0,58.0,27.0,384.0,46.0,198.0,82.0,01:24,85.0
131,2018-03-10,3150,13093,9.72,1,525,371,36,42,1944,1.18,387.0,79.0,35.0,466.0,59.0,219.0,109.0,01:11,83.0
132,2018-03-11,2476,6719,4.99,4,621,284,10,0,1126,2.2,462.0,63.0,39.0,525.0,74.0,235.0,87.0,02:12,87.0
133,2018-03-12,3432,13037,9.52,26,724,180,60,128,2128,1.97,291.0,57.0,19.0,348.0,48.0,180.0,63.0,01:58,84.0
134,2018-03-13,2741,8715,6.48,20,711,192,27,48,1334,0.03,422.0,37.0,1.0,462.0,,,,00:02,92.0
135,2018-03-14,3110,11713,8.56,21,668,209,45,81,1762,0.45,392.0,38.0,3.0,437.0,,,,00:27,91.0
136,2018-03-15,2744,10752,8.06,23,732,262,17,28,1377,0.73,362.0,39.0,3.0,401.0,,,,00:44,90.0
137,2018-03-16,2116,3156,2.34,0,618,161,0,0,596,0.62,592.0,69.0,4.0,661.0,,,,00:37,87.0
138,2018-03-17,2169,3986,2.96,1,572,199,0,0,697,0.58,600.0,69.0,3.0,669.0,,,,00:35,89.0
139,2018-03-18,2870,11283,8.38,8,509,339,40,11,1603,0.83,430.0,111.0,33.0,541.0,46.0,321.0,63.0,00:50,79.0
140,2018-03-19,2462,7206,5.35,18,773,201,8,12,1008,0.38,386.0,60.0,27.0,446.0,61.0,251.0,74.0,00:23,87.0
141,2018-03-20,2772,9596,7.17,26,739,205,39,45,1377,1.0,363.0,49.0,25.0,412.0,101.0,189.0,73.0,01:00,88.0
142,2018-03-21,3132,11954,8.82,31,912,91,3,16,548,0.68,367.0,51.0,22.0,418.0,87.0,193.0,87.0,00:41,88.0
143,2018-03-22,3115,10502,7.85,20,1440,0,0,0,0,,,,,,,,,,
144,2018-03-23,2728,8221,6.11,16,1440,0,0,0,0,,,,,,,,,,
145,2018-03-24,2696,8980,6.81,24,1390,0,50,0,310,,,,,,,,,,
146,2018-03-25,1622,0,0.0,4,1440,0,0,0,0,,,,,,,,,,
147,2018-03-26,5994,21481,15.87,17,1440,0,0,0,0,,,,,,,,,,
148,2018-03-27,3182,11508,8.36,19,1440,0,0,0,0,,,,,,,,,,
149,2018-03-28,2741,9517,7.07,3,1440,0,0,0,0,,,,,,,,,,
150,2018-03-29,3187,14047,10.44,8,1440,0,0,0,0,,,,,,,,,,
151,2018-03-30,2807,8880,6.6,5,1440,0,0,0,0,,,,,,,,,,
152,2018-03-31,1622,0,0.0,0,1440,0,0,0,0,,,,,,,,,,
153,2018-02-01,2956,9845,7.31,22,699,168,66,72,1588,0.5,394.0,40.0,3.0,435.0,,,,00:30,91.0
154,2018-02-02,3460,13835,10.44,35,681,139,126,68,1867,0.75,384.0,41.0,2.0,426.0,,,,00:45,90.0
